player_champion,player_lane,grupo_maestria,binary_win
Kindred,JUNGLE,Baixa,0.39436619718309857
Kindred,NONE,Alta,0.6666666666666666
Kindred,NONE,Baixa,0.25
Kindred,TOP,Alta,1.0
Kled,JUNGLE,Alta,0.25
Kled,JUNGLE,Baixa,0.0
Kled,MIDDLE,Alta,0.75
Kled,NONE,Alta,0.75
Kled,NONE,Baixa,0.375
Kled,TOP,Alta,0.7777777777777778
Kled,TOP,Baixa,0.42857142857142855
KogMaw,BOTTOM,Alta,0.5535714285714286
KogMaw,BOTTOM,Baixa,0.484375
KogMaw,JUNGLE,Alta,1.0
KogMaw,MIDDLE,Alta,0.8333333333333334
KogMaw,MIDDLE,Baixa,0.7777777777777778
KogMaw,NONE,Alta,0.5882352941176471
KogMaw,NONE,Baixa,0.5
KogMaw,TOP,Alta,0.0
KogMaw,TOP,Baixa,0.7142857142857143
Leblanc,BOTTOM,Alta,0.0
Leblanc,BOTTOM,Baixa,0.5
Leblanc,JUNGLE,Alta,1.0
Leblanc,JUNGLE,Baixa,0.25
Leblanc,MIDDLE,Alta,0.4835164835164835
Leblanc,MIDDLE,Baixa,0.5285714285714286
Leblanc,NONE,Alta,0.5454545454545454
Leblanc,NONE,Baixa,0.59375
Leblanc,TOP,Alta,0.4166666666666667
Leblanc,TOP,Baixa,0.125
LeeSin,BOTTOM,Alta,0.3333333333333333
LeeSin,BOTTOM,Baixa,0.6666666666666666
LeeSin,JUNGLE,Alta,0.4975609756097561
LeeSin,JUNGLE,Baixa,0.373015873015873
LeeSin,MIDDLE,Alta,0.25
LeeSin,MIDDLE,Baixa,1.0
LeeSin,NONE,Alta,0.6538461538461539
LeeSin,NONE,Baixa,0.5714285714285714
LeeSin,TOP,Alta,0.36363636363636365
LeeSin,TOP,Baixa,0.5
Leona,BOTTOM,Alta,0.5698924731182796
Leona,BOTTOM,Baixa,0.47368421052631576
Leona,JUNGLE,Baixa,0.5
Leona,MIDDLE,Alta,0.4444444444444444
Leona,MIDDLE,Baixa,0.375
Leona,NONE,Alta,0.4444444444444444
Leona,NONE,Baixa,0.52
Leona,TOP,Alta,1.0
Leona,TOP,Baixa,0.0
Lillia,BOTTOM,Alta,1.0
Lillia,JUNGLE,Alta,0.5476190476190477
Lillia,JUNGLE,Baixa,0.4424778761061947
Lillia,NONE,Alta,0.25
Lillia,NONE,Baixa,0.5238095238095238
Lillia,TOP,Baixa,0.3333333333333333
Lissandra,BOTTOM,Alta,0.5384615384615384
Lissandra,BOTTOM,Baixa,0.0
Lissandra,JUNGLE,Alta,0.47058823529411764
Lissandra,JUNGLE,Baixa,1.0
Lissandra,MIDDLE,Alta,0.5609756097560976
