player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
KSante,JUNGLE,5.066666666666666,5.333333333333333,5.866666666666666,1677.8666666666666,0.4,1
KSante,MIDDLE,5.875,3.125,5.75,1310.0,0.5,1
KSante,NONE,1.3636363636363635,2.909090909090909,1.393939393939394,867.4242424242424,0.36363636363636365,3
KSante,TOP,4.785714285714286,6.008928571428571,6.678571428571429,1661.1964285714287,0.4642857142857143,1
Kaisa,BOTTOM,9.0,6.372900335946248,6.940649496080627,1574.952967525196,0.5005599104143337,1
Kaisa,JUNGLE,8.136363636363637,8.727272727272727,7.181818181818182,1628.1363636363637,0.4090909090909091,1
Kaisa,MIDDLE,8.852941176470589,6.647058823529412,7.220588235294118,1594.1764705882354,0.5147058823529411,1
Kaisa,NONE,3.0927835051546393,2.288659793814433,2.0721649484536084,740.8298969072165,0.5257731958762887,3
Kaisa,TOP,9.0,7.3076923076923075,6.730769230769231,1304.2307692307693,0.4230769230769231,1
Kalista,BOTTOM,8.728571428571428,6.885714285714286,7.014285714285714,1629.8357142857142,0.4714285714285714,1
Kalista,JUNGLE,9.428571428571429,5.714285714285714,5.142857142857143,1360.5714285714287,0.5714285714285714,1
Kalista,MIDDLE,9.75,5.75,5.5,1492.5,0.5,1
Kalista,NONE,3.5,2.8421052631578947,1.5,749.7368421052631,0.5263157894736842,3
Kalista,TOP,8.5,9.75,7.25,1923.0,0.0,1
Karma,BOTTOM,2.570806100217865,5.775599128540305,15.152505446623094,1581.954248366013,0.5098039215686274,0
Karma,JUNGLE,2.3333333333333335,5.5,12.833333333333334,1759.3333333333333,0.5,0
Karma,MIDDLE,4.382978723404255,5.382978723404255,11.936170212765957,1514.7446808510638,0.5425531914893617,0
Karma,NONE,1.165137614678899,1.8440366972477065,4.495412844036697,753.1376146788991,0.5137614678899083,3
Karma,TOP,3.6,5.65,9.7,1708.5,0.35,1
Karthus,BOTTOM,8.461538461538462,10.76923076923077,10.384615384615385,1764.6153846153845,0.3076923076923077,1
Karthus,JUNGLE,8.936842105263159,7.6421052631578945,10.115789473684211,1653.2052631578947,0.45789473684210524,1
Karthus,MIDDLE,11.5,7.833333333333333,9.833333333333334,1416.6666666666667,0.3333333333333333,1
Karthus,NONE,4.051282051282051,2.1025641025641026,3.1025641025641026,778.7948717948718,0.7435897435897436,3
Karthus,TOP,10.5,9.0,11.5,1443.0,0.5,1
Kassadin,MIDDLE,8.039370078740157,5.25984251968504,5.637795275590551,1558.6535433070867,0.5669291338582677,1
Kassadin,NONE,2.3461538461538463,2.6538461538461537,1.7307692307692308,812.4615384615385,0.38461538461538464,3
Kassadin,TOP,8.95,5.65,5.15,1626.8,0.5,1
Katarina,BOTTOM,13.571428571428571,10.142857142857142,6.285714285714286,1929.5714285714287,0.42857142857142855,1
Katarina,JUNGLE,8.666666666666666,7.333333333333333,4.666666666666667,1611.6666666666667,0.0,1
Katarina,MIDDLE,10.035555555555556,7.622222222222222,5.72,1552.608888888889,0.39555555555555555,1
